"cohortId","cohortName","cohortNameFormatted","cohortNameLong","librarian","status","addedVersion","logicDescription","hashTag","isCirceJson","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","createdDate","modifiedDate","lastModifiedBy","replaces","isReferenceCohort","censorWindowStartDate","censorWindowEndDate","collapseSettingsType","collapseEraPad","exitStrategy","exitDateOffSetField","exitDateOffSet","numberOfInclusionRules","qualifyingLimitType","primaryCriteriaLimit","numberOfCohortEntryEvents","numberOfDomainsInEntryEvents","domainsInEntryEvents","continousObservationWindowPrior","continousObservationWindowPost","numberOfConceptSets","demographicCriteria","demographicCriteriaAge","demographicCriteriaGender","useOfObservationPeriodInclusionRule","restrictedByVisit","domainConditionOccurrence","domainMeasurement","domainObservation","domainVisitOccurrence","domainDeath","domainDrugExposure","criteriaAgePrimaryCriteria","domainDeviceExposure","domainProcedureOccurrence","criteriaAgeInclusionRules","criteriaGenderPrimaryCriteria","criteriaGenderInclusionRules"
2,"[W] COVID-19 diagnosis or SARS-CoV-2 test (1pos)","COVID-19 diagnosis or SARS-CoV-2 test (1pos)","COVID-19 diagnosis or SARS-CoV-2 test (1pos)","rao@ohdsi.org","Withdrawn","","Withdrawn by contributor before peer review","",1,"","","","","","439676, 37311061","","2021-09-22","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","First",2,2,"ConditionOccurrence, Measurement",0,0,2,0,0,0,0,0,1,1,,,,,,,,,,
3,"[P] Cough or Sputum","Cough or Sputum","Cough or Sputum","rao@ohdsi.org","Pending peer review","","All events of cough or sputum finding","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","254761","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-22","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",1,1,"ConditionOccurrence",0,0,1,0,0,0,0,0,1,,,,,,,,,,,
4,"[P] Diarrhea","Diarrhea","Diarrhea","rao@ohdsi.org","Pending peer review","","All events of diarrhea including Functional Diarrhea","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","196523","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",1,1,"ConditionOccurrence",0,0,1,0,0,0,0,0,1,,,,,,,,,,,
5,"[P] Dyspnea","Dyspnea","Dyspnea","rao@ohdsi.org","Pending peer review","","All events of dyspnea including difficulty breathing or abnormal breathing","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","312437, 4041664","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",1,1,"ConditionOccurrence",0,0,1,0,0,0,0,0,1,,,,,,,,,,,
6,"[P] Fever","Fever","Fever","rao@ohdsi.org","Pending peer review","","All events of fever or elevated temperature measurement","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","437663, 4178904","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",6,3,"ConditionOccurrence, Measurement, Observation",0,0,2,0,0,0,0,0,1,1,1,,,,,,,,,
7,"[P] Headache or Headache disorder","Headache or Headache disorder","Headache or Headache disorder","rao@ohdsi.org","Pending peer review","","All events of Headache or headache disorder","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","378253","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",2,2,"ConditionOccurrence, Observation",0,0,1,0,0,0,0,0,1,,1,,,,,,,,,
8,"[P] Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","rao@ohdsi.org","Pending peer review","","Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","43530714","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",1,1,"ConditionOccurrence",0,0,1,0,0,0,0,0,1,,,,,,,,,,,
9,"[P] Sore throat","Sore throat","Sore throat","rao@ohdsi.org","Pending peer review","","All events of Sore throat","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","25297, 4226263","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",2,2,"ConditionOccurrence, Observation",0,0,1,0,0,0,0,0,1,,1,,,,,,,,,
10,"[P] Nausea or Vomiting","Nausea or Vomiting","Nausea or Vomiting","rao@ohdsi.org","Pending peer review","","All events of Nausea or vomiting","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","27674, 4101344","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",2,2,"ConditionOccurrence, Observation",0,0,1,0,0,0,0,0,1,,1,,,,,,,,,
11,"[P] Malaise and or fatigue","Malaise and or fatigue","Malaise and or fatigue","rao@ohdsi.org","Pending peer review","","All events of Malaise and or fatigue","#Symptoms",1,"Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","439926, 4272240","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","2021-09-23","2023-09-19",,"",0,,,"ERA",0,"fixed duration relative to initial event","EndDate",0,0,"First","All",1,1,"ConditionOccurrence",0,0,1,0,0,0,0,0,1,,,,,,,,,,,
